ronda,orden,caso,operacion,localidad,motor,regiones_hogar,inicio_utc,latencia_ms,reintentos
41,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.359+00:00,0.163,0
41,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.359+00:00,1.582,0
41,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.361+00:00,1.423,0
42,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.362+00:00,1.380,0
42,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.364+00:00,0.223,0
42,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.364+00:00,1.458,0
42,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.365+00:00,0.168,0
43,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.365+00:00,0.163,0
43,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.366+00:00,1.408,0
43,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.367+00:00,1.542,0
43,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.369+00:00,0.207,0
44,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.369+00:00,1.375,0
44,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.370+00:00,1.305,0
44,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.372+00:00,0.197,0
44,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.372+00:00,0.164,0
45,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.372+00:00,0.215,0
45,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.372+00:00,1.441,0
